  PID TTY      STAT   TIME COMMAND
 1132 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1135 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1138 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1145 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1155 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 1196 ?        Ssl    0:00 /usr/lib/colord/colord
 1227 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 1235 ?        Ss     0:00 /lib/systemd/systemd --user
 1242 ?        S      0:00 (sd-pam)
 1251 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
 1255 tty2     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
 1257 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation
 1259 tty2     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
 1318 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1323 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1344 tty2     Sl+    3:57 /usr/bin/gnome-shell
 1350 tty2     Sl+    0:14 /usr/bin/Xwayland :0 -rootless -terminate -core -listen 4 -listen 5 -displayfd 6
 1361 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1366 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1368 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1374 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1392 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1393 tty2     Sl     0:10 ibus-daemon --xim --panel disable
 1397 tty2     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1399 tty2     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1411 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1415 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1421 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1426 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1430 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1441 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1443 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1450 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1455 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1459 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1461 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1462 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1464 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1466 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1467 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1469 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1483 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1484 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1488 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1490 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1491 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-keyboard
 1494 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1499 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1500 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1501 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1503 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1506 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1523 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1526 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1535 tty2     Sl     0:01 /usr/lib//ibus/ibus-engine-sunpinyin --ibus
 1571 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1581 tty2     Sl+    0:05 nautilus-desktop
 1585 tty2     SLl+   0:17 /usr/bin/gnome-software --gapplication-service
 1587 tty2     S+     0:00 kerneloops-applet
 1599 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
 1604 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1523x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1523/2
 1617 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1523x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1523/3
 1630 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1637 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1630x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1630/2
 1640 ?        Ssl    0:00 /usr/lib/fwupd/fwupd
 1669 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1679 tty2     Sl+    0:00 update-notifier
 1698 ?        Sl     0:20 /usr/bin/nautilus --gapplication-service
 1719 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-network --spawner :1.3 /org/gtk/gvfs/exec_spaw/2
 1750 ?        Ssl    0:00 /usr/bin/zeitgeist-daemon
 1766 ?        Ssl    0:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
 1771 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.3 /org/gtk/gvfs/exec_spaw/5
 1779 tty2     Sl+    0:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
 2020 ?        S      0:00 [kworker/u16:2]
 2716 ?        S      0:00 [kworker/u16:0]
 2791 ?        S      0:00 [kworker/4:2]
 4592 ?        S<     0:00 [loop0]
 4681 ?        Ssl    0:02 /usr/lib/snapd/snapd
 4687 ?        S      0:00 [kworker/0:1]
 4835 ?        S      0:00 [kworker/u16:4]
 4854 ?        S<     0:00 [loop1]
 4895 ?        S      0:00 [kworker/3:0]
 4906 ?        S      0:00 [kworker/2:0]
 4910 ?        S      0:00 [kworker/5:0]
 5079 ?        S      0:00 [kworker/1:1]
 5169 ?        S      0:00 [kworker/u16:5]
 5442 ?        S      0:00 [kworker/6:2]
 5611 ?        S      0:00 [kworker/7:2]
 5612 ?        S      0:00 [kworker/u16:1]
 5629 ?        S      0:00 [kworker/1:2]
 5831 ?        S      0:00 [kworker/6:0]
 5841 ?        Ssl    0:00 /usr/lib/gnome-terminal/gnome-terminal-server
 5850 pts/0    Ss+    0:00 bash
 5938 ?        Ssl    0:00 /snap/sublime-text/18/opt/sublime_text/sublime_text /home/uzi/桌面/gitSPace/系统编程/exec_ps.c
 5949 ?        Sl     0:00 /snap/sublime-text/18/opt/sublime_text/plugin_host 5938 --auto-shell-env
 5955 pts/1    Ss     0:00 bash
 5971 pts/1    R+     0:00 -anx -anx
