  PID TTY      STAT   TIME COMMAND
  808 ?        Ssl    0:00 /usr/sbin/cups-browsed
  809 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
  835 ?        Ssl    0:00 /usr/lib/policykit-1/polkitd --no-debug
  888 ?        Ss     0:00 /lib/systemd/systemd-resolved
  910 ?        S      0:00 [kworker/2:2]
  912 ?        Ssl    0:00 /usr/sbin/gdm3
  917 ?        Sl     0:00 gdm-session-worker [pam/gdm-launch-environment]
  948 ?        Ss     0:00 /lib/systemd/systemd --user
  951 ?        S      0:00 (sd-pam)
  959 tty1     Ssl+   0:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
  961 ?        Ss     0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation
  962 ?        S      0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /run/dhclient-enp8s0.pid -lf /var/lib/NetworkManager/dhclient-0aad28a9-fc09-3a83-b196-3b572f7c4eca-enp8s0.lease -cf /var/lib/NetworkManager/dhclient-enp8s0.conf enp8s0
  968 tty1     Sl+    0:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
  976 tty1     Sl+    0:01 /usr/bin/gnome-shell
  990 ?        Ssl    0:00 /usr/bin/whoopsie -f
 1018 ?        Ss     0:00 /usr/sbin/kerneloops
 1038 ?        Ssl    0:00 /usr/lib/upower/upowerd
 1066 tty1     Sl+    0:00 /usr/bin/Xwayland :1024 -rootless -terminate -core -listen 4 -listen 5 -displayfd 6
 1077 ?        Ssl    0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
 1082 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
 1084 ?        Sl     0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
 1088 ?        Ssl    0:00 /usr/bin/pulseaudio --daemonize=no
 1089 ?        SNsl   0:00 /usr/lib/rtkit/rtkit-daemon
 1108 tty1     Sl     0:00 ibus-daemon --xim --panel disable
 1111 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1114 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1123 ?        Ssl    0:00 /usr/lib/packagekit/packagekitd
 1125 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1130 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1131 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-keyboard
 1132 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1133 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1136 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1140 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1141 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
 1143 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1144 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1145 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1151 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1152 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1155 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1156 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1157 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1158 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1161 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1171 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1203 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
 1247 ?        Ssl    0:00 /usr/lib/colord/colord
 1278 ?        Sl     0:00 gdm-session-worker [pam/gdm-password]
 1287 ?        Ss     0:00 /lib/systemd/systemd --user
 1293 ?        S      0:00 (sd-pam)
 1302 ?        Sl     0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
